tokenizer,sample,format,tokens
bielik-v1-tokenizer,arch,json,2287
bielik-v1-tokenizer,arch,nows-json,1677
bielik-v1-tokenizer,arch,yaml,1573
bielik-v1-tokenizer,arch,toon,1403
bielik-v1-tokenizer,models,json,606
bielik-v1-tokenizer,models,nows-json,442
bielik-v1-tokenizer,models,yaml,400
bielik-v1-tokenizer,models,toon,294
bielik-v1-tokenizer,photos,json,508994
bielik-v1-tokenizer,photos,nows-json,408992
bielik-v1-tokenizer,photos,yaml,393486
bielik-v1-tokenizer,photos,toon,304009
bielik-v1-tokenizer,placeholder,json,118
bielik-v1-tokenizer,placeholder,nows-json,103
bielik-v1-tokenizer,placeholder,yaml,101
bielik-v1-tokenizer,placeholder,toon,97
bielik-v1-tokenizer,recipe,json,1328
bielik-v1-tokenizer,recipe,nows-json,1049
bielik-v1-tokenizer,recipe,yaml,930
bielik-v1-tokenizer,recipe,toon,833
bielik-v2-tokenizer,arch,json,2286
bielik-v2-tokenizer,arch,nows-json,1676
bielik-v2-tokenizer,arch,yaml,1572
bielik-v2-tokenizer,arch,toon,1402
bielik-v2-tokenizer,models,json,605
bielik-v2-tokenizer,models,nows-json,441
bielik-v2-tokenizer,models,yaml,399
bielik-v2-tokenizer,models,toon,293
bielik-v2-tokenizer,photos,json,508993
bielik-v2-tokenizer,photos,nows-json,408991
bielik-v2-tokenizer,photos,yaml,393485
bielik-v2-tokenizer,photos,toon,304008
bielik-v2-tokenizer,placeholder,json,117
bielik-v2-tokenizer,placeholder,nows-json,102
bielik-v2-tokenizer,placeholder,yaml,100
bielik-v2-tokenizer,placeholder,toon,96
bielik-v2-tokenizer,recipe,json,1327
bielik-v2-tokenizer,recipe,nows-json,1048
bielik-v2-tokenizer,recipe,yaml,929
bielik-v2-tokenizer,recipe,toon,832
bielik-v3-tokenizer,arch,json,5270
bielik-v3-tokenizer,arch,nows-json,2858
bielik-v3-tokenizer,arch,yaml,3019
bielik-v3-tokenizer,arch,toon,2883
bielik-v3-tokenizer,models,json,1033
bielik-v3-tokenizer,models,nows-json,669
bielik-v3-tokenizer,models,yaml,481
bielik-v3-tokenizer,models,toon,349
bielik-v3-tokenizer,photos,json,756999
bielik-v3-tokenizer,photos,nows-json,591997
bielik-v3-tokenizer,photos,yaml,482362
bielik-v3-tokenizer,photos,toon,367024
bielik-v3-tokenizer,placeholder,json,150
bielik-v3-tokenizer,placeholder,nows-json,132
bielik-v3-tokenizer,placeholder,yaml,114
bielik-v3-tokenizer,placeholder,toon,110
bielik-v3-tokenizer,recipe,json,2420
bielik-v3-tokenizer,recipe,nows-json,1629
bielik-v3-tokenizer,recipe,yaml,1326
bielik-v3-tokenizer,recipe,toon,1182
latarnik-tokenizer,arch,json,3720
latarnik-tokenizer,arch,nows-json,3292
latarnik-tokenizer,arch,yaml,1732
latarnik-tokenizer,arch,toon,1722
latarnik-tokenizer,models,json,890
latarnik-tokenizer,models,nows-json,772
latarnik-tokenizer,models,yaml,457
latarnik-tokenizer,models,toon,345
latarnik-tokenizer,photos,json,753124
latarnik-tokenizer,photos,nows-json,683122
latarnik-tokenizer,photos,yaml,493119
latarnik-tokenizer,photos,toon,418147
latarnik-tokenizer,placeholder,json,162
latarnik-tokenizer,placeholder,nows-json,150
latarnik-tokenizer,placeholder,yaml,112
latarnik-tokenizer,placeholder,toon,118
latarnik-tokenizer,recipe,json,2088
latarnik-tokenizer,recipe,nows-json,1888
latarnik-tokenizer,recipe,yaml,1351
latarnik-tokenizer,recipe,toon,1303
qwen3-4b-tokenizer,arch,json,2073
qwen3-4b-tokenizer,arch,nows-json,1218
qwen3-4b-tokenizer,arch,yaml,1383
qwen3-4b-tokenizer,arch,toon,1229
qwen3-4b-tokenizer,models,json,552
qwen3-4b-tokenizer,models,nows-json,350
qwen3-4b-tokenizer,models,yaml,372
qwen3-4b-tokenizer,models,toon,276
qwen3-4b-tokenizer,photos,json,453154
qwen3-4b-tokenizer,photos,nows-json,328153
qwen3-4b-tokenizer,photos,yaml,351577
qwen3-4b-tokenizer,photos,toon,266888
qwen3-4b-tokenizer,placeholder,json,105
qwen3-4b-tokenizer,placeholder,nows-json,86
qwen3-4b-tokenizer,placeholder,yaml,83
qwen3-4b-tokenizer,placeholder,toon,83
qwen3-4b-tokenizer,recipe,json,1204
qwen3-4b-tokenizer,recipe,nows-json,850
qwen3-4b-tokenizer,recipe,yaml,838
qwen3-4b-tokenizer,recipe,toon,753
