tokenizer,sample,json,toon,save_pct
bielik-v1-tokenizer,arch,2287.0,1403.0,38.65325754263227
bielik-v1-tokenizer,models,606.0,294.0,51.48514851485149
bielik-v1-tokenizer,photos,508994.0,304009.0,40.27257688695741
bielik-v1-tokenizer,placeholder,118.0,97.0,17.796610169491526
bielik-v1-tokenizer,recipe,1328.0,833.0,37.27409638554217
bielik-v2-tokenizer,arch,2286.0,1402.0,38.67016622922135
bielik-v2-tokenizer,models,605.0,293.0,51.570247933884296
bielik-v2-tokenizer,photos,508993.0,304008.0,40.27265600902174
bielik-v2-tokenizer,placeholder,117.0,96.0,17.94871794871795
bielik-v2-tokenizer,recipe,1327.0,832.0,37.30218538055765
bielik-v3-tokenizer,arch,5270.0,2883.0,45.294117647058826
bielik-v3-tokenizer,models,1033.0,349.0,66.21490803484996
bielik-v3-tokenizer,photos,756999.0,367024.0,51.51592010029076
bielik-v3-tokenizer,placeholder,150.0,110.0,26.666666666666668
bielik-v3-tokenizer,recipe,2420.0,1182.0,51.15702479338843
latarnik-tokenizer,arch,3720.0,1722.0,53.70967741935484
latarnik-tokenizer,models,890.0,345.0,61.23595505617978
latarnik-tokenizer,photos,753124.0,418147.0,44.47833291728852
latarnik-tokenizer,placeholder,162.0,118.0,27.160493827160494
latarnik-tokenizer,recipe,2088.0,1303.0,37.59578544061303
qwen3-4b-tokenizer,arch,2073.0,1229.0,40.71394114809455
qwen3-4b-tokenizer,models,552.0,276.0,50.0
qwen3-4b-tokenizer,photos,453154.0,266888.0,41.10434863203238
qwen3-4b-tokenizer,placeholder,105.0,83.0,20.952380952380953
qwen3-4b-tokenizer,recipe,1204.0,753.0,37.45847176079734
